# Karancho
000000000;1346086945;0;MVARIO; 
000000000;1346086945;1;Vario;m/s
000000000;1346086945;2;Abs. altit;m
000000000;1346086945;3;Rel. altit;m
000000000;1346086945;4;Air press.;hPa
000000000;1346086945;5;Temp.;°C
000000000;1426827393;0;MT-125; 
000000000;1426827393;1;Temp. A;°C
000000000;1426827393;2;Temp. B;°C
1275059468;1346086945;5;1;1;254
1275059631;1346086945;1;1;1;4294967290
1275059631;1346086945;2;1;1;3947
1275059631;1346086945;3;1;1;1153
1275059631;1346086945;4;4;2;95162
1275059631;1346086945;5;1;1;254
1275059843;1346086945;1;1;1;4294967290
1275059843;1346086945;2;1;1;3945
1275059843;1346086945;3;1;1;1151
1275059843;1346086945;4;4;2;95164
1275059843;1346086945;5;1;1;254
1275060230;1346086945;1;1;1;4294967282
1275060231;1346086945;2;1;1;3938
1275060231;1346086945;3;1;1;1144
1275060231;1346086945;4;4;2;95172
1275060231;1346086945;5;1;1;254
1275060431;1346086945;1;1;1;4294967282
1275060431;1346086945;2;1;1;3936
1275060431;1346086945;3;1;1;1142
1275060431;1346086945;4;4;2;95175
1275060431;1346086945;5;1;1;254
1275060667;1346086945;1;1;1;4294967290
1275060667;1346086945;2;1;1;3934
1275060667;1346086945;3;1;1;1140
1275060667;1346086945;4;4;2;95177
1275060667;1346086945;5;1;1;254
1275060830;1346086945;1;1;1;4294967290
1275060831;1346086945;2;1;1;3932
1275060831;1346086945;3;1;1;1138
1275060831;1346086945;4;4;2;95179
1275060831;1346086945;5;1;1;254
1275061036;1346086945;1;1;1;4294967290
1275061036;1346086945;2;1;1;3930
1275061036;1346086945;3;1;1;1136
1275061036;1346086945;4;4;2;95181
1275061036;1346086945;5;1;1;254
1275061245;1346086945;1;1;1;4294967286
1275061245;1346086945;2;1;1;3930
1275061245;1346086945;3;1;1;1136
1275061245;1346086945;4;4;2;95181
1275061245;1346086945;5;1;1;254
1275061430;1346086945;1;1;1;4294967286
1275061439;1346086945;2;1;1;3929
1275061439;1346086945;3;1;1;1135
1275061440;1346086945;4;4;2;95182
1275061440;1346086945;5;1;1;254
1275061631;1346086945;1;1;1;4294967286
1275061631;1346086945;2;1;1;3929
1275061631;1346086945;3;1;1;1135
1275061631;1346086945;4;4;2;95182
1275061631;1346086945;5;1;1;255
1275061867;1346086945;1;1;1;0
1275061867;1346086945;2;1;1;3931
1275061867;1346086945;3;1;1;1137
1275061867;1346086945;4;4;2;95180
1275061867;1346086945;5;1;1;254
1275062030;1346086945;1;1;1;0
1275062030;1346086945;2;1;1;3934
1275062031;1346086945;3;1;1;1140
1275062031;1346086945;4;4;2;95177
1275062031;1346086945;5;1;1;255
1275062241;1346086945;1;1;1;0
1275062241;1346086945;2;1;1;3937
1275062241;1346086945;3;1;1;1143
1275062241;1346086945;4;4;2;95174
1275062241;1346086945;5;1;1;255
1275062444;1346086945;1;1;1;0
1275062445;1346086945;2;1;1;3939
1275062445;1346086945;3;1;1;1145
1275062445;1346086945;4;4;2;95171
1275062445;1346086945;5;1;1;255
1275062631;1346086945;1;1;1;0
1275062631;1346086945;2;1;1;3943
1275062632;1346086945;3;1;1;1149
1275062632;1346086945;4;4;2;95167
1275062632;1346086945;5;1;1;255
1275063067;1346086945;1;1;1;11
1275063067;1346086945;2;1;1;3950
1275063067;1346086945;3;1;1;1156
1275063067;1346086945;4;4;2;95159
1275063067;1346086945;5;1;1;255
1275063230;1346086945;1;1;1;11
1275063230;1346086945;2;1;1;3953
